"","isocode","country","year","intrapartum_earlynn","preterm_earlynn","congenital_earlynn","sepsis_earlynn","pneumonia_earlynn","injuries_earlynn","other1_earlynn","other2_earlynn","hiv_earlynn","meningitis_earlynn","malaria_earlynn","tetanus_earlynn","pertussis_earlynn","totdeaths_earlynn","intrapartum_latenn","preterm_latenn","congenital_latenn","sepsis_latenn","pneumonia_latenn","injuries_latenn","other1_latenn","other2_latenn","hiv_latenn","meningitis_latenn","malaria_latenn","tetanus_latenn","pertussis_latenn","totdeaths_latenn","intrapartum","preterm","congenital","sepsis","pneumonia","injuries","other1","other2","hiv","meningitis","malaria","tetanus","pertussis","totdeaths"
"1","AND","Andorra",2014,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"2","ARG","Argentina",2016,285,1537,912,231,21,10,259,5,0,2,0,0,0,3262,62,446,384,226,31,17,108,6,0,1,0,0,0,1281,347,1983,1296,457,52,27,367,11,0,3,0,0,0,4543
"3","ATG","Antigua and Barbuda",2016,1,3,2,2,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,3,2,0,0,0,0,0,0,0,0,0,9
"4","AUS","Australia",2016,82,161,148,5,1,1,95,2,0,0,0,0,0,495,18,16,32,8,2,1,25,1,0,0,0,0,0,103,100,177,180,13,3,2,120,3,0,0,0,0,0,598
"5","AUT","Austria",2017,29,45,34,6,0,0,21,0,0,0,0,0,0,135,3,8,14,7,2,1,5,1,0,0,0,0,0,41,32,53,48,13,2,1,26,1,0,0,0,0,0,176
"6","BEL","Belgium",2016,35,64,43,6,0,0,48,0,0,1,0,0,0,197,6,16,31,4,1,1,8,3,0,0,0,0,0,70,41,80,74,10,1,1,56,3,0,1,0,0,0,267
"7","BGR","Bulgaria",2015,36,69,59,6,3,0,9,0,0,0,0,0,0,182,11,24,28,6,7,1,2,0,0,0,0,0,0,79,47,93,87,12,10,1,11,0,0,0,0,0,0,261
"8","BHR","Bahrain",2014,2,38,20,0,0,0,2,0,0,0,0,0,0,62,0,9,8,0,0,0,0,0,0,0,0,0,0,17,2,47,28,0,0,0,2,0,0,0,0,0,0,79
"9","BHS","Bahamas",2014,5,4,2,4,0,0,1,0,0,0,0,0,0,16,1,7,4,5,2,0,0,2,0,0,0,0,0,21,6,11,6,9,2,0,1,2,0,0,0,0,0,37
"10","BLZ","Belize",2016,11,32,11,4,0,2,3,0,0,0,0,0,0,63,1,6,4,2,1,0,1,0,0,0,0,0,0,15,12,38,15,6,1,2,4,0,0,0,0,0,0,78
"11","BRA","Brazil",2016,3102,5659,3776,1851,191,88,3589,24,3,2,1,0,0,18286,502,1136,1463,1448,193,80,995,24,0,1,0,0,0,5842,3604,6795,5239,3299,384,168,4584,48,3,3,1,0,0,24128
"12","BRB","Barbados",2013,5,0,7,2,0,0,2,1,0,0,0,0,0,17,1,2,1,1,0,0,1,0,0,0,0,0,0,6,6,2,8,3,0,0,3,1,0,0,0,0,0,23
"13","BRN","Brunei Darussalam",2016,2,14,10,7,3,2,6,0,0,0,0,0,0,44,0,2,2,0,0,1,1,0,0,0,0,0,0,6,2,16,12,7,3,3,7,0,0,0,0,0,0,50
"14","CHL","Chile",2016,76,337,407,44,4,1,79,3,0,1,0,0,0,952,11,69,110,24,2,1,20,5,0,0,0,0,0,242,87,406,517,68,6,2,99,8,0,1,0,0,0,1194
"15","COL","Colombia",2015,366,1099,797,337,91,10,380,4,0,2,0,0,0,3086,91,335,430,279,82,7,109,7,0,1,0,0,0,1341,457,1434,1227,616,173,17,489,11,0,3,0,0,0,4427
"16","CRI","Costa Rica",2014,31,149,121,4,4,1,11,1,0,0,0,0,0,322,6,23,53,5,5,2,5,0,0,0,0,0,0,99,37,172,174,9,9,3,16,1,0,0,0,0,0,421
"17","CUB","Cuba",2016,27,83,24,11,21,3,17,0,0,0,0,0,0,186,8,20,24,12,9,4,8,3,0,0,0,0,0,88,35,103,48,23,30,7,25,3,0,0,0,0,0,274
"18","CYP","Cyprus",2016,1,7,4,0,0,0,3,0,0,1,0,0,0,16,0,1,2,0,0,0,0,1,0,0,0,0,0,4,1,8,6,0,0,0,3,1,0,1,0,0,0,20
"19","CZE","Czech Republic",2017,27,38,32,5,2,2,26,0,0,0,0,0,0,132,7,26,8,11,1,1,9,0,0,0,0,0,0,63,34,64,40,16,3,3,35,0,0,0,0,0,0,195
"20","DEU","Germany",2016,129,567,349,28,5,3,165,13,0,0,0,0,0,1259,41,225,175,27,2,3,83,9,0,0,0,0,0,565,170,792,524,55,7,6,248,22,0,0,0,0,0,1824
"21","DMA","Dominica",2015,10,2,3,2,0,0,1,0,0,0,0,0,0,18,1,2,0,0,0,0,0,0,0,0,0,0,0,3,11,4,3,2,0,0,1,0,0,0,0,0,0,21
"22","DNK","Denmark",2009,6,36,5,1,0,1,9,1,0,0,0,0,0,59,1,15,8,0,0,0,2,1,0,0,0,0,0,27,7,51,13,1,0,1,11,2,0,0,0,0,0,86
"23","ECU","Ecuador",2016,160,491,291,76,23,3,110,7,1,0,0,0,0,1162,51,168,136,91,35,10,42,2,0,0,0,0,0,535,211,659,427,167,58,13,152,9,1,0,0,0,0,1697
"24","ESP","Spain",2016,91,155,117,29,2,0,118,4,0,0,0,0,0,516,17,55,86,37,2,2,36,3,0,0,0,0,0,238,108,210,203,66,4,2,154,7,0,0,0,0,0,754
"25","EST","Estonia",2016,2,3,3,1,0,1,0,0,0,0,0,0,0,10,3,0,2,3,0,0,0,0,0,0,0,0,0,8,5,3,5,4,0,1,0,0,0,0,0,0,0,18
"26","FIN","Finland",2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","FRA","France",2015,234,381,237,71,1,6,262,8,0,1,0,0,0,1201,105,129,146,69,3,1,79,8,0,0,0,0,0,540,339,510,383,140,4,7,341,16,0,1,0,0,0,1741
"28","GBR","United Kingdom",2016,129,963,458,21,28,3,62,7,0,0,0,0,0,1671,21,185,153,23,5,1,31,6,0,0,0,0,0,425,150,1148,611,44,33,4,93,13,0,0,0,0,0,2096
"29","GRC","Greece",2016,15,97,30,2,4,0,17,0,0,0,0,0,0,165,5,44,29,5,6,1,5,1,0,0,0,0,0,96,20,141,59,7,10,1,22,1,0,0,0,0,0,261
"30","GRD","Grenada",2017,4,6,1,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,1,0,1,0,0,0,0,0,0,0,0,12
"31","GUY","Guyana",2014,17,62,18,8,20,1,5,1,0,0,0,0,0,132,5,16,10,6,26,1,2,0,0,0,0,0,0,66,22,78,28,14,46,2,7,1,0,0,0,0,0,198
"32","HRV","Croatia",2016,9,11,33,2,0,1,24,0,0,0,0,0,0,80,1,4,11,1,0,0,13,1,0,0,0,0,0,31,10,15,44,3,0,1,37,1,0,0,0,0,0,111
"33","HUN","Hungary",2017,10,65,35,7,2,3,9,0,0,0,0,0,0,131,6,39,18,0,3,0,6,0,0,0,0,0,0,72,16,104,53,7,5,3,15,0,0,0,0,0,0,203
"34","IRL","Ireland",2014,10,38,49,5,1,0,16,1,0,0,0,0,0,120,0,12,19,1,0,0,5,0,0,0,0,0,0,37,10,50,68,6,1,0,21,1,0,0,0,0,0,157
"35","ISL","Iceland",2017,0,2,2,2,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,0,0,0,0,0,0,0,0,0,7
"36","ISR","Israel",2016,26,73,74,7,0,1,59,1,0,0,0,0,0,241,11,15,44,6,0,0,30,2,0,0,0,0,0,108,37,88,118,13,0,1,89,3,0,0,0,0,0,349
"37","ITA","Italy",2015,75,259,141,30,3,1,165,10,0,0,0,0,0,684,21,87,90,32,2,1,52,6,0,0,0,0,0,291,96,346,231,62,5,2,217,16,0,0,0,0,0,975
"38","JAM","Jamaica",2014,98,204,54,52,9,0,37,0,0,0,0,0,0,454,14,38,16,31,13,2,6,1,0,0,0,0,0,121,112,242,70,83,22,2,43,1,0,0,0,0,0,575
"39","JPN","Japan",2016,93,161,270,30,5,6,82,8,0,1,0,0,0,656,14,18,95,24,10,3,18,4,0,0,0,0,0,186,107,179,365,54,15,9,100,12,0,1,0,0,0,842
"40","KNA","Saint Kitts and Nevis",2016,3,3,2,0,0,0,1,0,0,0,0,0,0,9,1,0,1,1,0,0,1,0,0,0,0,0,0,4,4,3,3,1,0,0,2,0,0,0,0,0,0,13
"41","KOR","Republic of Korea",2016,51,193,76,27,1,6,22,7,0,0,0,0,0,383,6,101,55,36,0,1,26,4,0,0,0,0,0,229,57,294,131,63,1,7,48,11,0,0,0,0,0,612
"42","KWT","Kuwait",2014,4,100,94,4,0,0,6,2,0,0,0,0,0,210,2,52,35,4,0,1,2,5,0,0,0,0,0,101,6,152,129,8,0,1,8,7,0,0,0,0,0,311
"43","LCA","Saint Lucia",2014,2,12,5,0,0,0,4,0,0,0,0,0,0,23,0,1,1,0,1,0,2,0,0,0,0,0,0,5,2,13,6,0,1,0,6,0,0,0,0,0,0,28
"44","LTU","Lithuania",2017,6,5,17,4,2,2,2,1,0,0,0,0,0,39,1,2,2,4,1,0,0,0,0,0,0,0,0,10,7,7,19,8,3,2,2,1,0,0,0,0,0,49
"45","LUX","Luxembourg",2016,1,2,4,0,0,0,2,0,0,0,0,0,0,9,0,3,1,1,0,0,0,0,0,0,0,0,0,5,1,5,5,1,0,0,2,0,0,0,0,0,0,14
"46","LVA","Latvia",2015,13,12,10,2,4,1,2,0,0,0,0,0,0,44,2,2,3,1,0,0,2,0,0,0,0,0,0,10,15,14,13,3,4,1,4,0,0,0,0,0,0,54
"47","MDA","Republic of Moldova",2017,12,28,48,28,13,1,4,1,0,0,0,0,0,135,4,8,26,17,9,3,1,1,0,0,0,0,0,69,16,36,74,45,22,4,5,2,0,0,0,0,0,204
"48","MEX","Mexico",2016,1601,4120,2416,1141,348,63,787,27,0,4,0,0,0,10507,414,963,1112,1238,311,34,349,24,0,2,0,0,0,4447,2015,5083,3528,2379,659,97,1136,51,0,6,0,0,0,14954
"49","MKD","The former Yugoslav Republic of Macedonia",2013,17,109,5,3,1,0,2,0,0,0,0,0,0,137,0,29,4,4,0,0,0,0,0,0,0,0,0,37,17,138,9,7,1,0,2,0,0,0,0,0,0,174
"50","MLT","Malta",2015,0,4,6,0,0,0,1,0,0,0,0,0,0,11,1,3,0,0,0,0,0,0,0,0,0,0,0,4,1,7,6,0,0,0,1,0,0,0,0,0,0,15
"51","MNE","Montenegro",2009,12,9,3,1,1,0,0,0,0,0,0,0,0,26,3,2,0,0,1,0,0,0,0,0,0,0,0,6,15,11,3,1,2,0,0,0,0,0,0,0,0,32
"52","MUS","Mauritius",2017,11,36,16,6,1,0,6,0,0,0,0,0,0,76,1,7,6,11,0,1,4,0,0,0,0,0,0,30,12,43,22,17,1,1,10,0,0,0,0,0,0,106
"53","NIC","Nicaragua",2017,168,353,246,139,58,0,22,0,0,1,0,0,0,987,35,84,77,91,59,0,6,0,0,0,0,0,0,352,203,437,323,230,117,0,28,0,0,1,0,0,0,1339
"54","NLD","Netherlands",2016,56,92,81,19,0,0,41,4,0,0,0,0,0,293,11,28,28,19,0,1,6,6,0,0,0,0,0,99,67,120,109,38,0,1,47,10,0,0,0,0,0,392
"55","NOR","Norway",2016,15,8,17,1,0,0,12,2,0,0,0,0,0,55,7,2,9,2,2,0,5,0,0,0,0,0,0,27,22,10,26,3,2,0,17,2,0,0,0,0,0,82
"56","NZL","New Zealand",2014,15,106,52,6,10,0,7,2,0,0,0,0,0,198,1,6,14,7,0,3,1,0,0,0,0,0,0,32,16,112,66,13,10,3,8,2,0,0,0,0,0,230
"57","PAN","Panama",2016,57,146,96,41,16,1,25,3,0,2,0,0,0,387,11,45,63,41,11,0,9,0,0,0,0,0,0,180,68,191,159,82,27,1,34,3,0,2,0,0,0,567
"58","POL","Poland",2016,31,449,244,16,10,2,30,6,0,0,0,0,0,788,3,163,93,11,3,2,16,3,0,0,0,0,0,294,34,612,337,27,13,4,46,9,0,0,0,0,0,1082
"59","ROU","Romania",2017,31,269,116,5,27,3,27,0,0,3,0,0,0,481,11,115,74,6,49,5,6,1,0,2,0,0,0,269,42,384,190,11,76,8,33,1,0,5,0,0,0,750
"60","SGP","Singapore",2016,1,7,15,0,0,0,7,1,0,0,0,0,0,31,3,2,6,2,2,0,2,1,0,0,0,0,0,18,4,9,21,2,2,0,9,2,0,0,0,0,0,49
"61","SMR","San Marino",1998,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"62","SRB","Serbia",2016,30,123,24,2,2,1,4,0,0,0,0,0,0,186,7,37,11,5,3,1,3,0,0,0,0,0,0,67,37,160,35,7,5,2,7,0,0,0,0,0,0,253
"63","SUR","Suriname",2014,22,48,14,10,1,0,2,1,0,0,0,0,0,98,2,2,4,9,0,2,1,0,0,0,0,0,0,20,24,50,18,19,1,2,3,1,0,0,0,0,0,118
"64","SVK","Slovakia",2014,15,65,56,7,0,1,7,0,0,0,0,0,0,151,0,20,6,0,2,0,4,0,0,0,0,0,0,32,15,85,62,7,2,1,11,0,0,0,0,0,0,183
"65","SVN","Slovenia",2015,2,5,3,1,0,0,1,0,0,0,0,0,0,12,0,2,4,2,0,1,2,1,0,0,0,0,0,12,2,7,7,3,0,1,3,1,0,0,0,0,0,24
"66","SWE","Sweden",2016,30,23,34,8,0,1,28,0,0,0,0,0,0,124,3,15,15,5,0,0,8,0,0,0,0,0,0,46,33,38,49,13,0,1,36,0,0,0,0,0,0,170
"67","TTO","Trinidad and Tobago",2012,17,35,22,7,7,0,11,0,0,0,0,0,0,99,2,9,8,9,2,1,2,0,0,0,0,0,0,33,19,44,30,16,9,1,13,0,0,0,0,0,0,132
