isocode,country,year,livebirths,nmr,period,intrapartum,preterm,congenital,sepsis,pneumonia,injuries,other1,other2,hiv,meningitis,malaria,tetanus,pertussis,totdeaths,ratio_nmr_low,ratio_nmr_high,nnd,gfr,gini,gni,imr,u5mr,lbwrate,femlit,anc,u5pop,dpt,quadu5mr,x_u5mr1,x_u5mr2,x_u5mr3,quadimr,x_imr1,x_imr2,x_imr3,quadnmr,x_nmr1,x_nmr2,x_nmr3,quadgfr,x_gfr1,x_gfr2,x_gfr3,quadgni,x_gni1,x_gni2,x_gni3,quadlbwrate,x_lbwrate1,x_lbwrate2,x_lbwrate3,quadgini,x_gini1,x_gini2,x_gini3,quadanc,x_anc1,x_anc2,x_anc3,quadfemlit,x_femlit1,x_femlit2,x_femlit3,quaddpt,x_dpt1,x_dpt2,x_dpt3,national,envelope
AND,Andorra,1990,714.24585,7.00039072749964,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
AND,Andorra,1990,714.24585,7.00039072749964,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
AND,Andorra,1991,756.85083,6.6063214327625,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
AND,Andorra,1991,756.85083,6.6063214327625,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
AND,Andorra,1992,643.112,6.21975659708853,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
AND,Andorra,1992,643.112,6.21975659708853,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
AND,Andorra,1993,677.63013,5.90292539144562,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
AND,Andorra,1993,677.63013,5.90292539144562,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
AND,Andorra,1994,717.60217,5.57411915194403,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
AND,Andorra,1994,717.60217,5.57411915194403,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
AND,Andorra,1995,764.87634,5.22960344481091,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
AND,Andorra,1995,764.87634,5.22960344481091,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
AND,Andorra,1996,607.4751,4.93847425307459,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
AND,Andorra,1996,607.4751,4.93847425307459,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
AND,Andorra,1997,641.45935,4.6768358580756,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
